stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
28,B,B,1,True,nonsocial,joab01,0,0,0.0
86,B,A,,False,nonsocial,joab01,1,0,0.0
70,A,B,,False,nonsocial,joab01,2,0,0.0
24,B,A,,False,nonsocial,joab01,3,0,0.0
86,B,A,,False,nonsocial,joab01,0,1,0.0
28,A,B,,False,nonsocial,joab01,1,1,0.0
24,B,A,,False,nonsocial,joab01,2,1,0.0
70,A,B,,False,nonsocial,joab01,3,1,0.0
70,B,B,1,True,nonsocial,joab01,0,2,0.0
28,A,B,,False,nonsocial,joab01,1,2,0.0
24,A,A,1,True,nonsocial,joab01,2,2,0.0
86,B,A,,False,nonsocial,joab01,3,2,0.0
28,B,B,1,True,nonsocial,joab01,0,3,0.0
70,,B,,False,nonsocial,joab01,1,3,0.0
24,A,A,1,True,nonsocial,joab01,2,3,0.0
86,B,A,,False,nonsocial,joab01,3,3,0.0
24,B,A,,False,nonsocial,joab01,0,4,0.0
28,A,B,,False,nonsocial,joab01,1,4,0.0
70,A,B,,False,nonsocial,joab01,2,4,0.0
86,A,A,1,True,nonsocial,joab01,3,4,0.0
24,B,A,,False,nonsocial,joab01,0,5,0.0
86,B,A,,False,nonsocial,joab01,1,5,0.0
28,A,B,,False,nonsocial,joab01,2,5,0.0
70,A,B,,False,nonsocial,joab01,3,5,0.0
83,A,A,1,True,social,joab01,0,0,1.0
41,B,B,1,True,social,joab01,1,0,1.0
71,A,B,,False,social,joab01,2,0,1.0
51,B,A,,False,social,joab01,3,0,1.0
51,B,A,,False,social,joab01,0,1,1.0
71,B,B,1,True,social,joab01,1,1,1.0
83,A,A,1,True,social,joab01,2,1,1.0
41,B,B,1,True,social,joab01,3,1,1.0
51,A,A,1,True,social,joab01,0,2,1.0
83,B,A,,False,social,joab01,1,2,1.0
41,A,B,,False,social,joab01,2,2,1.0
71,A,B,,False,social,joab01,3,2,1.0
83,B,A,,False,social,joab01,0,3,1.0
51,B,A,,False,social,joab01,1,3,1.0
41,A,B,,False,social,joab01,2,3,1.0
71,A,B,,False,social,joab01,3,3,1.0
41,A,B,,False,social,joab01,0,4,1.0
71,A,B,,False,social,joab01,1,4,1.0
83,B,A,,False,social,joab01,2,4,1.0
51,A,A,0,True,social,joab01,3,4,1.0
83,A,A,1,True,social,joab01,0,5,1.0
51,B,A,,False,social,joab01,1,5,1.0
41,B,B,0,True,social,joab01,2,5,1.0
71,A,B,,False,social,joab01,3,5,1.0
28,B,B,1,True,nonsocial,joab01,0,0,2.0
24,A,A,1,True,nonsocial,joab01,1,0,2.0
70,A,B,,False,nonsocial,joab01,2,0,2.0
86,B,A,,False,nonsocial,joab01,3,0,2.0
70,A,B,,False,nonsocial,joab01,0,1,2.0
28,B,B,1,True,nonsocial,joab01,1,1,2.0
24,A,A,1,True,nonsocial,joab01,2,1,2.0
86,A,A,1,True,nonsocial,joab01,3,1,2.0
28,B,B,1,True,nonsocial,joab01,0,2,2.0
24,A,A,1,True,nonsocial,joab01,1,2,2.0
70,B,B,0,True,nonsocial,joab01,2,2,2.0
86,A,A,1,True,nonsocial,joab01,3,2,2.0
24,A,A,1,True,nonsocial,joab01,0,3,2.0
70,A,B,,False,nonsocial,joab01,1,3,2.0
28,B,B,1,True,nonsocial,joab01,2,3,2.0
86,A,A,1,True,nonsocial,joab01,3,3,2.0
70,A,B,,False,nonsocial,joab01,0,4,2.0
28,B,B,0,True,nonsocial,joab01,1,4,2.0
24,A,A,0,True,nonsocial,joab01,2,4,2.0
86,B,A,,False,nonsocial,joab01,3,4,2.0
24,A,A,0,True,nonsocial,joab01,0,5,2.0
70,B,B,1,True,nonsocial,joab01,1,5,2.0
28,A,B,,False,nonsocial,joab01,2,5,2.0
86,A,A,1,True,nonsocial,joab01,3,5,2.0
51,B,A,,False,social,joab01,0,0,3.0
83,B,A,,False,social,joab01,1,0,3.0
71,B,B,0,True,social,joab01,2,0,3.0
41,A,B,,False,social,joab01,3,0,3.0
51,B,A,,False,social,joab01,0,1,3.0
71,A,B,,False,social,joab01,1,1,3.0
83,A,A,1,True,social,joab01,2,1,3.0
41,A,B,,False,social,joab01,3,1,3.0
83,A,A,1,True,social,joab01,0,2,3.0
41,B,B,1,True,social,joab01,1,2,3.0
71,A,B,,False,social,joab01,2,2,3.0
51,A,A,1,True,social,joab01,3,2,3.0
41,A,B,,False,social,joab01,0,3,3.0
51,B,A,,False,social,joab01,1,3,3.0
71,A,B,,False,social,joab01,2,3,3.0
83,A,A,1,True,social,joab01,3,3,3.0
51,A,A,1,True,social,joab01,0,4,3.0
41,B,B,0,True,social,joab01,1,4,3.0
71,A,B,,False,social,joab01,2,4,3.0
83,A,A,0,True,social,joab01,3,4,3.0
41,B,B,1,True,social,joab01,0,5,3.0
51,A,A,1,True,social,joab01,1,5,3.0
83,B,A,,False,social,joab01,2,5,3.0
71,A,B,,False,social,joab01,3,5,3.0
