stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
78,A,1,social,veri93,0,0
20,A,1,social,veri93,1,0
24,A,1,social,veri93,2,0
84,A,1,social,veri93,3,0
84,A,0,social,veri93,0,1
24,B,1,social,veri93,1,1
78,B,0,social,veri93,2,1
20,B,0,social,veri93,3,1
20,A,0,social,veri93,0,2
78,B,1,social,veri93,1,2
84,B,0,social,veri93,2,2
24,B,0,social,veri93,3,2
78,B,1,social,veri93,0,3
20,A,1,social,veri93,1,3
24,A,0,social,veri93,2,3
84,B,0,social,veri93,3,3
78,A,0,social,veri93,0,4
84,A,0,social,veri93,1,4
20,A,1,social,veri93,2,4
24,B,1,social,veri93,3,4
20,A,1,social,veri93,0,5
78,B,0,social,veri93,1,5
84,B,0,social,veri93,2,5
24,B,1,social,veri93,3,5
41,A,0,nonsocial,veri93,0,0
89,B,0,nonsocial,veri93,1,0
99,A,1,nonsocial,veri93,2,0
65,B,1,nonsocial,veri93,3,0
89,A,1,nonsocial,veri93,0,1
99,A,1,nonsocial,veri93,1,1
65,B,1,nonsocial,veri93,2,1
41,A,0,nonsocial,veri93,3,1
65,B,1,nonsocial,veri93,0,2
89,A,1,nonsocial,veri93,1,2
41,B,1,nonsocial,veri93,2,2
99,A,0,nonsocial,veri93,3,2
65,B,1,nonsocial,veri93,0,3
41,A,1,nonsocial,veri93,1,3
89,A,1,nonsocial,veri93,2,3
99,B,0,nonsocial,veri93,3,3
89,A,1,nonsocial,veri93,0,4
65,B,1,nonsocial,veri93,1,4
41,A,0,nonsocial,veri93,2,4
99,B,1,nonsocial,veri93,3,4
89,B,0,nonsocial,veri93,0,5
99,B,0,nonsocial,veri93,1,5
65,B,1,nonsocial,veri93,2,5
41,A,0,nonsocial,veri93,3,5
78,A,0,social,veri93,0,0
84,B,0,social,veri93,1,0
24,A,0,social,veri93,2,0
20,A,0,social,veri93,3,0
24,A,0,social,veri93,0,1
84,B,0,social,veri93,1,1
20,A,0,social,veri93,2,1
78,A,0,social,veri93,3,1
78,A,1,social,veri93,0,2
84,A,1,social,veri93,1,2
24,B,1,social,veri93,2,2
20,B,0,social,veri93,3,2
20,A,1,social,veri93,0,3
78,A,0,social,veri93,1,3
84,A,1,social,veri93,2,3
24,A,1,social,veri93,3,3
20,B,0,social,veri93,0,4
78,A,0,social,veri93,1,4
24,A,1,social,veri93,2,4
84,A,0,social,veri93,3,4
78,B,0,social,veri93,0,5
24,A,0,social,veri93,1,5
84,B,0,social,veri93,2,5
20,A,1,social,veri93,3,5
41,B,1,nonsocial,veri93,0,0
99,B,1,nonsocial,veri93,1,0
89,A,0,nonsocial,veri93,2,0
65,A,1,nonsocial,veri93,3,0
89,B,0,nonsocial,veri93,0,1
99,B,0,nonsocial,veri93,1,1
41,A,0,nonsocial,veri93,2,1
65,B,1,nonsocial,veri93,3,1
65,A,0,nonsocial,veri93,0,2
41,B,1,nonsocial,veri93,1,2
89,B,0,nonsocial,veri93,2,2
99,B,0,nonsocial,veri93,3,2
89,B,0,nonsocial,veri93,0,3
99,A,1,nonsocial,veri93,1,3
41,A,0,nonsocial,veri93,2,3
65,A,0,nonsocial,veri93,3,3
99,B,0,nonsocial,veri93,0,4
65,B,1,nonsocial,veri93,1,4
41,A,0,nonsocial,veri93,2,4
89,B,0,nonsocial,veri93,3,4
41,A,0,nonsocial,veri93,0,5
89,B,0,nonsocial,veri93,1,5
99,A,1,nonsocial,veri93,2,5
65,B,1,nonsocial,veri93,3,5
