stim,ParticipantAnswer,Reward,BlockType
10,A,0,nonsocial
10,B,1,nonsocial
10,A,0,nonsocial
10,B,1,nonsocial
10,B,1,nonsocial
10,B,1,nonsocial
10,A,1,nonsocial
10,A,0,nonsocial
10,A,0,nonsocial
10,B,1,nonsocial
10,A,1,nonsocial
10,B,0,nonsocial
52,A,0,nonsocial
52,B,1,nonsocial
52,B,1,nonsocial
52,B,1,nonsocial
52,B,0,nonsocial
52,A,0,nonsocial
52,B,1,nonsocial
52,NA,0,nonsocial
52,B,1,nonsocial
52,B,1,nonsocial
52,A,0,nonsocial
52,B,1,nonsocial
84,A,1,nonsocial
84,A,1,nonsocial
84,B,0,nonsocial
84,A,0,nonsocial
84,A,1,nonsocial
84,A,1,nonsocial
84,B,1,nonsocial
84,B,0,nonsocial
84,A,1,nonsocial
84,A,1,nonsocial
84,B,0,nonsocial
84,A,1,nonsocial
22,A,1,nonsocial
22,A,1,nonsocial
22,A,1,nonsocial
22,A,1,nonsocial
22,A,0,nonsocial
22,B,1,nonsocial
22,A,1,nonsocial
22,B,0,nonsocial
22,A,0,nonsocial
22,B,0,nonsocial
22,A,1,nonsocial
22,B,0,nonsocial
43,B,0,social
43,A,1,social
43,A,1,social
43,A,1,social
43,A,1,social
43,A,1,social
43,A,0,social
43,B,0,social
43,B,0,social
43,A,1,social
43,A,1,social
43,B,1,social
61,A,1,social
61,A,1,social
61,A,0,social
61,B,0,social
61,B,0,social
61,A,0,social
61,A,1,social
61,A,1,social
61,A,0,social
61,B,0,social
61,B,0,social
61,A,1,social
85,B,1,social
85,B,1,social
85,B,1,social
85,B,1,social
85,B,1,social
85,B,1,social
85,B,1,social
85,B,0,social
85,B,1,social
85,A,0,social
85,NA,0,social
85,B,1,social
71,B,1,social
71,B,0,social
71,A,0,social
71,B,1,social
71,A,0,social
71,B,1,social
71,A,0,social
71,B,1,social
71,B,1,social
71,A,0,social
71,A,1,social
71,B,1,social
